iter	Passed	Remaining
0	0	1425
1	1	1166
2	1	1146
3	1	1094
4	2	1048
5	2	1029
6	3	1002
7	3	1027
8	5	1340
9	6	1420
10	6	1452
11	7	1416
12	8	1418
13	8	1381
14	8	1367
15	9	1332
16	9	1318
17	10	1303
18	11	1359
19	12	1390
20	12	1371
21	14	1450
22	14	1440
23	15	1487
24	16	1489
25	16	1478
26	18	1516
27	18	1506
28	19	1509
29	20	1518
30	21	1575
31	22	1575
32	23	1589
33	24	1606
34	24	1599
35	28	1815
36	32	1957
37	32	1942
38	34	1987
39	36	2056
40	37	2036
41	37	2018
42	38	2012
43	38	1989
44	39	1991
45	41	2004
46	43	2064
47	45	2109
48	45	2088
49	46	2088
50	47	2087
51	50	2196
52	51	2178
53	53	2233
54	54	2231
55	56	2253
56	58	2282
57	58	2269
58	60	2278
59	63	2381
60	65	2389
61	66	2378
62	70	2515
63	71	2498
64	81	2785
65	86	2929
66	94	3141
67	98	3213
68	100	3236
69	101	3221
70	103	3235
71	113	3507
72	117	3589
73	122	3673
74	125	3720
75	126	3699
76	128	3705
77	129	3691
78	130	3658
79	131	3627
80	132	3623
81	134	3637
82	135	3614
83	140	3693
84	140	3664
85	141	3637
86	142	3616
87	143	3593
88	143	3564
89	144	3541
90	145	3515
91	145	3487
92	147	3482
93	147	3454
94	148	3441
95	149	3414
96	149	3393
97	151	3393
98	151	3369
99	152	3356
100	153	3338
101	154	3313
102	155	3302
103	155	3282
104	156	3259
105	156	3242
106	157	3222
107	158	3215
108	159	3195
109	159	3173
110	160	3152
111	160	3133
112	161	3114
113	161	3093
114	162	3072
115	162	3054
116	163	3035
117	164	3039
118	165	3021
119	166	3020
120	167	3002
121	167	2984
122	168	2972
123	168	2955
124	170	2953
125	171	2958
126	172	2945
127	173	2932
128	173	2919
129	175	2925
130	176	2913
131	178	2933
132	180	2940
133	181	2926
134	183	2929
135	184	2930
136	185	2920
137	185	2905
138	186	2897
139	187	2882
140	189	2887
141	191	2897
142	192	2895
143	193	2884
144	194	2889
145	195	2876
146	195	2862
147	197	2867
148	198	2853
149	199	2851
150	200	2841
151	200	2829
152	201	2815
153	201	2803
154	202	2792
155	203	2792
156	204	2779
157	204	2767
158	205	2756
159	205	2747
160	206	2734
161	207	2728
162	207	2717
163	208	2707
164	209	2706
165	210	2694
166	210	2687
167	211	2681
168	212	2670
169	212	2661
170	213	2651
171	215	2654
172	215	2644
173	216	2634
174	216	2625
175	217	2615
176	218	2610
177	218	2602
178	219	2597
179	220	2588
180	220	2578
181	221	2575
182	223	2576
183	223	2569
184	224	2560
185	225	2561
186	226	2558
187	227	2553
188	228	2544
189	228	2534
190	229	2530
191	231	2533
192	231	2524
193	232	2516
194	233	2510
195	233	2501
196	235	2512
197	236	2506
198	237	2497
199	238	2497
200	239	2490
201	239	2485
202	240	2478
203	240	2469
204	241	2461
205	241	2453
206	242	2447
207	243	2441
208	243	2434
209	244	2427
210	245	2429
211	246	2423
212	247	2416
213	247	2408
214	248	2399
215	249	2397
216	249	2391
217	250	2388
218	251	2381
219	251	2375
220	254	2383
221	254	2377
222	256	2381
223	257	2376
224	257	2370
225	258	2362
226	258	2355
227	259	2348
228	259	2341
229	260	2336
230	260	2329
231	261	2323
232	262	2321
233	262	2316
234	264	2318
235	265	2313
236	265	2306
237	266	2299
238	267	2297
239	267	2290
240	268	2287
241	269	2282
242	269	2276
243	270	2276
244	271	2269
245	272	2266
246	272	2262
247	273	2256
248	274	2255
249	274	2249
250	275	2242
251	276	2238
252	276	2232
253	277	2226
254	277	2221
255	278	2215
256	278	2210
257	279	2206
258	280	2201
259	280	2196
260	281	2191
261	281	2186
262	282	2180
263	282	2174
264	283	2168
265	283	2163
266	284	2157
267	284	2151
268	285	2153
269	286	2148
270	287	2144
271	288	2142
272	288	2140
273	289	2134
274	292	2145
275	292	2139
276	293	2135
277	293	2132
278	294	2128
279	295	2124
280	295	2119
281	296	2116
282	297	2113
283	298	2115
284	299	2112
285	301	2120
286	303	2125
287	304	2121
288	305	2117
289	305	2113
290	306	2108
291	306	2103
292	307	2100
293	307	2095
294	308	2092
295	309	2091
296	310	2087
297	311	2086
298	312	2083
299	312	2080
300	313	2076
301	313	2071
302	315	2072
303	315	2069
304	317	2069
305	318	2067
306	319	2070
307	320	2067
308	322	2069
309	323	2069
310	325	2075
311	326	2072
312	326	2068
313	327	2064
314	328	2063
315	329	2062
316	329	2058
317	331	2059
318	333	2065
319	333	2060
320	335	2064
321	336	2060
322	338	2066
323	340	2073
324	344	2088
325	346	2093
326	347	2089
327	348	2086
328	348	2082
329	349	2080
330	351	2083
331	352	2084
332	354	2087
333	355	2084
334	358	2095
335	358	2091
336	359	2087
337	360	2088
338	361	2084
339	364	2094
340	364	2090
341	365	2086
342	366	2084
343	368	2087
344	368	2085
345	369	2083
346	371	2085
347	372	2082
348	372	2078
349	373	2074
350	373	2070
351	374	2065
352	375	2067
353	376	2063
354	376	2059
355	378	2062
356	381	2069
357	381	2065
358	382	2062
359	383	2059
360	383	2056
361	384	2052
362	385	2053
363	386	2049
364	387	2048
365	387	2044
366	388	2042
367	389	2039
368	390	2037
369	390	2033
370	391	2031
371	395	2042
372	396	2043
373	397	2043
374	398	2040
375	400	2044
376	402	2047
377	403	2046
378	403	2042
379	404	2039
380	405	2035
381	406	2037
382	407	2033
383	408	2032
384	408	2028
385	409	2024
386	410	2025
387	411	2021
388	411	2017
389	412	2014
390	412	2010
391	413	2006
392	413	2003
393	414	1999
394	414	1995
395	416	1995
396	416	1992
397	417	1989
398	417	1986
399	418	1982
400	419	1980
401	419	1976
402	420	1974
403	421	1971
404	422	1969
405	423	1969
406	423	1966
407	424	1963
408	425	1960
409	425	1957
410	426	1955
411	426	1951
412	427	1948
413	428	1945
414	429	1947
415	430	1944
416	431	1941
417	431	1938
418	432	1935
419	433	1935
420	434	1932
421	434	1929
422	435	1928
423	436	1927
424	437	1924
425	438	1923
426	440	1926
427	441	1926
428	442	1922
429	442	1919
430	442	1915
431	444	1916
432	444	1913
433	445	1910
434	446	1909
435	448	1911
436	449	1909
437	450	1911
438	451	1908
439	452	1905
440	452	1903
441	453	1900
442	456	1907
443	456	1904
444	457	1902
445	458	1899
446	459	1898
447	459	1895
448	460	1892
449	462	1894
450	466	1907
451	467	1905
452	468	1905
453	469	1903
454	471	1904
455	474	1915
456	477	1919
457	478	1918
458	479	1916
459	479	1913
460	480	1910
461	480	1908
462	481	1905
463	483	1907
464	486	1915
465	488	1917
466	491	1924
467	493	1926
468	495	1929
469	496	1926
470	496	1923
471	498	1927
472	499	1924
473	501	1925
474	502	1925
475	507	1940
476	509	1941
477	509	1938
478	512	1941
479	512	1939
480	513	1936
481	513	1933
482	515	1934
483	519	1944
484	521	1944
485	522	1943
486	523	1945
487	524	1942
488	527	1949
489	528	1946
490	531	1954
491	532	1951
492	533	1948
493	533	1945
494	535	1947
495	537	1950
496	538	1947
497	538	1944
498	540	1946
499	541	1944
500	542	1940
501	542	1938
502	543	1935
503	544	1934
504	545	1933
505	546	1930
506	546	1928
507	547	1926
508	548	1924
509	548	1921
510	550	1920
511	551	1918
512	551	1916
513	552	1914
514	553	1913
515	556	1918
516	558	1920
517	558	1917
518	560	1919
519	561	1917
520	562	1915
521	565	1919
522	565	1917
523	566	1913
524	566	1910
525	567	1908
526	569	1909
527	570	1907
528	570	1905
529	571	1904
530	572	1903
531	573	1900
532	574	1898
533	575	1898
534	576	1895
535	576	1893
536	578	1893
537	581	1897
538	581	1895
539	582	1892
540	584	1896
541	586	1896
542	586	1893
543	589	1896
544	589	1894
545	594	1904
546	598	1911
547	600	1913
548	602	1916
549	603	1915
550	605	1916
551	607	1918
552	610	1924
553	612	1925
554	614	1927
555	616	1928
556	618	1929
557	622	1937
558	623	1936
559	624	1934
560	625	1931
561	628	1937
562	629	1935
563	630	1934
564	632	1935
565	632	1932
566	633	1929
567	634	1928
568	634	1925
569	635	1923
570	637	1924
571	640	1930
572	641	1927
573	641	1924
574	642	1921
575	643	1920
576	643	1917
577	645	1918
578	646	1916
579	647	1915
580	648	1913
581	651	1916
582	651	1913
583	652	1911
584	653	1909
585	653	1907
586	655	1906
587	655	1904
588	657	1903
589	660	1908
590	662	1911
591	664	1911
592	667	1915
593	669	1916
594	670	1916
595	674	1922
596	675	1922
597	676	1920
598	678	1921
599	679	1919
600	680	1917
601	682	1918
602	683	1917
603	684	1917
604	686	1916
605	687	1916
606	688	1914
607	689	1913
608	691	1913
609	692	1911
610	694	1914
611	697	1918
612	699	1918
613	700	1917
614	701	1916
615	703	1916
616	706	1920
617	709	1925
618	712	1929
619	713	1928
620	715	1927
621	717	1929
622	718	1928
623	719	1926
624	720	1925
625	721	1923
626	722	1921
627	725	1924
628	726	1924
629	728	1925
630	729	1922
631	732	1928
632	734	1927
633	734	1925
634	735	1923
635	736	1920
636	737	1920
637	739	1919
638	740	1918
639	740	1915
640	741	1914
641	743	1913
642	745	1914
643	747	1916
644	750	1919
645	751	1918
646	753	1919
647	754	1916
648	756	1918
649	759	1921
650	760	1920
651	763	1923
652	764	1923
653	767	1926
654	771	1931
655	772	1929
656	773	1927
657	774	1926
658	774	1923
659	777	1926
660	780	1928
661	781	1927
662	783	1928
663	784	1927
664	785	1925
665	788	1928
666	788	1925
667	790	1926
668	792	1925
669	793	1923
670	793	1921
671	796	1922
672	796	1920
673	797	1918
674	797	1915
675	798	1913
676	801	1915
677	802	1914
678	804	1915
679	805	1913
680	806	1912
681	808	1911
682	808	1909
683	809	1907
684	813	1911
685	813	1909
686	814	1906
687	815	1904
688	817	1906
689	818	1904
690	819	1902
691	821	1902
692	823	1902
693	825	1904
694	826	1902
695	826	1899
696	828	1898
697	829	1897
698	830	1896
699	833	1899
700	834	1897
701	838	1901
702	838	1899
703	840	1898
704	841	1897
705	842	1897
706	845	1897
707	846	1897
708	848	1897
709	851	1900
710	851	1898
711	852	1895
712	854	1896
713	856	1897
714	859	1899
715	862	1901
716	863	1900
717	865	1900
718	867	1900
719	868	1900
720	869	1899
721	872	1901
722	873	1899
723	876	1902
724	878	1901
725	878	1899
726	881	1900
727	881	1898
728	882	1896
729	884	1895
730	885	1894
731	886	1892
732	888	1893
733	888	1890
734	889	1887
735	890	1886
736	892	1886
737	895	1888
738	896	1886
739	896	1884
740	897	1881
741	897	1879
742	899	1878
743	903	1883
744	903	1880
745	904	1878
746	905	1877
747	906	1874
748	907	1872
749	908	1870
750	908	1868
751	909	1866
752	910	1863
753	911	1863
754	912	1861
755	914	1860
756	917	1864
757	918	1861
758	919	1861
759	920	1859
760	921	1857
761	923	1858
762	925	1857
763	927	1858
764	929	1859
765	931	1859
766	933	1859
767	935	1859
768	937	1860
769	942	1866
770	943	1865
771	944	1862
772	945	1861
773	946	1859
774	947	1857
775	947	1855
776	948	1853
777	949	1851
778	950	1849
779	954	1853
780	955	1851
781	959	1855
782	960	1854
783	964	1858
784	965	1856
785	966	1855
786	967	1853
787	967	1851
788	975	1861
789	976	1860
790	985	1873
791	985	1870
792	987	1869
793	988	1868
794	992	1873
795	995	1875
796	1002	1883
797	1004	1884
798	1005	1881
799	1005	1879
800	1009	1882
801	1013	1887
802	1015	1886
803	1015	1883
804	1016	1880
805	1017	1879
806	1018	1877
807	1018	1874
808	1020	1874
809	1021	1871
810	1021	1869
811	1022	1867
812	1022	1864
813	1024	1863
814	1024	1860
815	1025	1858
816	1025	1855
817	1026	1853
818	1028	1853
819	1028	1850
820	1029	1848
821	1030	1845
822	1030	1843
823	1031	1840
824	1031	1838
825	1032	1835
826	1034	1835
827	1034	1833
828	1037	1834
829	1037	1831
830	1038	1829
831	1038	1826
832	1039	1824
833	1041	1824
834	1042	1822
835	1043	1820
836	1043	1818
837	1044	1815
838	1045	1814
839	1045	1811
840	1046	1808
841	1046	1806
842	1047	1804
843	1048	1801
844	1049	1800
845	1049	1798
846	1050	1795
847	1051	1793
848	1051	1790
849	1052	1788
850	1052	1786
851	1054	1785
852	1054	1782
853	1055	1780
854	1055	1777
855	1056	1775
856	1056	1773
857	1057	1771
858	1058	1769
859	1058	1766
860	1059	1764
861	1059	1761
862	1060	1759
863	1060	1756
864	1061	1755
865	1062	1752
866	1063	1752
867	1064	1749
868	1065	1747
869	1066	1747
870	1068	1746
871	1069	1745
872	1070	1743
873	1072	1743
874	1073	1741
875	1073	1739
876	1074	1737
877	1075	1735
878	1076	1733
879	1077	1732
880	1078	1730
881	1079	1728
882	1079	1726
883	1080	1724
884	1080	1721
885	1082	1721
886	1082	1718
887	1086	1722
888	1087	1720
889	1088	1718
890	1088	1715
891	1089	1713
892	1089	1710
893	1090	1708
894	1090	1706
895	1092	1705
896	1094	1706
897	1096	1706
898	1097	1703
899	1097	1701
900	1098	1699
901	1100	1700
902	1101	1698
903	1102	1696
904	1103	1695
905	1104	1693
906	1105	1691
907	1106	1690
908	1108	1690
909	1109	1688
910	1111	1687
911	1111	1685
912	1111	1683
913	1112	1680
914	1113	1678
915	1114	1678
916	1115	1675
917	1115	1673
918	1117	1673
919	1118	1672
920	1119	1669
921	1119	1667
922	1120	1665
923	1121	1663
924	1121	1661
925	1122	1659
926	1123	1657
927	1123	1655
928	1124	1653
929	1125	1651
930	1126	1650
931	1128	1649
932	1128	1647
933	1130	1647
934	1131	1645
935	1133	1645
936	1133	1643
937	1136	1643
938	1136	1641
939	1137	1639
940	1141	1642
941	1142	1641
942	1144	1640
943	1144	1638
944	1145	1636
945	1147	1636
946	1148	1634
947	1150	1634
948	1150	1632
949	1151	1630
950	1152	1628
951	1153	1627
952	1154	1626
953	1156	1625
954	1157	1623
955	1157	1621
956	1158	1619
957	1160	1619
958	1164	1622
959	1166	1622
960	1167	1620
961	1168	1619
962	1169	1617
963	1171	1617
964	1173	1617
965	1174	1615
966	1176	1616
967	1178	1615
968	1180	1615
969	1181	1613
970	1181	1611
971	1182	1609
972	1183	1607
973	1184	1605
974	1184	1603
975	1185	1601
976	1185	1599
977	1186	1597
978	1186	1595
979	1189	1596
980	1190	1594
981	1190	1592
982	1191	1590
983	1191	1587
984	1192	1586
985	1193	1584
986	1193	1582
987	1194	1580
988	1195	1578
989	1196	1577
990	1197	1575
991	1197	1573
992	1199	1572
993	1199	1570
994	1201	1569
995	1201	1567
996	1203	1567
997	1205	1566
998	1206	1564
999	1207	1563
1000	1209	1563
1001	1212	1563
1002	1214	1564
1003	1216	1563
1004	1217	1563
