iter	Passed	Remaining
0	54	1082189
1	57	575099
2	59	394226
3	60	301934
4	65	261571
5	66	220345
6	67	191808
7	68	170639
8	69	154743
9	70	141246
10	71	130272
11	72	121359
12	73	113586
13	74	106973
14	77	102839
15	78	98216
16	80	94154
17	81	90914
18	83	87974
19	84	84653
20	85	81765
21	87	79160
22	88	77267
23	89	74909
24	92	73691
25	93	71835
26	94	69992
27	96	68755
28	97	67120
29	98	65599
30	100	64759
31	101	63491
32	102	61976
33	103	60768
34	104	59669
35	105	58693
36	106	57463
37	107	56556
38	108	55591
39	109	54708
40	111	54161
41	112	53350
42	114	52965
43	115	52231
44	117	52200
45	119	51642
46	119	50756
47	120	50149
48	121	49545
49	122	48972
50	124	48761
51	126	48438
52	127	47929
53	128	47631
54	130	47452
55	133	47397
56	134	47233
57	136	46834
58	137	46426
59	138	46053
60	139	45734
61	142	45945
62	143	45520
63	144	45118
64	145	44736
65	147	44412
66	148	44047
67	149	43733
68	150	43407
69	150	42922
70	152	42825
71	153	42527
72	154	42250
73	155	41959
74	157	41779
75	158	41518
76	159	41228
77	161	41278
78	162	41070
79	164	40902
80	166	40899
81	167	40645
82	168	40408
83	169	40195
84	170	39950
85	171	39720
86	172	39490
87	174	39374
88	175	39182
89	176	38984
90	177	38807
91	178	38626
92	179	38413
93	180	38229
94	182	38178
95	184	38158
96	186	38210
97	188	38348
98	190	38221
99	191	38047
100	192	37884
101	193	37708
102	195	37682
103	196	37505
104	197	37346
105	198	37179
106	199	37032
107	201	37187
108	202	37026
109	205	37076
110	205	36785
111	206	36633
112	207	36514
113	210	36780
114	212	36730
115	214	36688
116	216	36711
117	217	36589
118	218	36543
119	219	36404
120	220	36291
121	221	36152
122	222	36022
123	224	35917
124	225	35846
125	226	35717
126	228	35784
127	229	35703
128	231	35621
129	232	35529
130	233	35408
131	234	35358
132	236	35274
133	237	35168
134	238	35055
135	238	34827
136	239	34737
137	241	34739
138	242	34645
139	243	34611
140	245	34543
141	246	34436
142	247	34347
143	248	34262
144	249	34176
145	250	34104
146	252	34080
147	253	33988
148	255	34011
149	257	34100
150	258	34023
151	259	33927
152	262	34097
153	264	34058
154	265	33995
155	267	33977
156	268	33913
157	269	33889
158	271	33829
159	272	33737
160	273	33652
161	274	33587
162	275	33515
163	276	33490
164	277	33399
165	280	33461
166	281	33443
167	282	33391
168	284	33343
169	285	33294
170	286	33224
171	289	33426
172	291	33353
173	292	33282
174	293	33198
175	294	33124
176	295	33054
177	296	32976
178	297	32926
179	298	32872
180	299	32810
181	300	32752
182	301	32677
183	302	32611
184	303	32560
185	305	32591
186	307	32534
187	308	32484
188	309	32437
189	311	32431
190	314	32655
191	318	32816
192	320	32921
193	322	32970
194	324	32974
195	327	33072
196	328	33026
197	329	32970
198	331	33027
199	333	33034
200	335	33015
201	336	32960
202	337	32907
203	338	32842
204	339	32795
205	342	32901
206	343	32841
207	344	32794
208	345	32753
209	346	32690
210	348	32686
211	349	32615
212	350	32590
213	351	32531
214	352	32469
215	354	32433
216	355	32386
217	356	32335
218	357	32303
219	359	32280
220	361	32362
221	362	32327
222	363	32270
223	364	32218
224	365	32160
225	366	32109
226	368	32058
227	370	32092
228	371	32060
229	373	32073
230	374	32030
231	375	31997
232	378	32109
233	379	32062
234	381	32089
235	383	32114
236	385	32178
237	396	32907
238	405	33513
239	409	33741
240	423	34729
241	426	34788
242	427	34782
243	429	34785
244	431	34782
245	433	34784
246	436	34882
247	443	35352
248	446	35454
249	454	35877
250	458	36065
251	461	36141
252	464	36221
253	467	36371
254	470	36438
255	474	36562
256	477	36719
257	482	36905
258	484	36950
259	489	37158
260	494	37398
261	499	37594
262	501	37658
263	505	37822
264	509	37978
265	514	38133
266	519	38404
267	522	38441
268	524	38447
269	527	38544
270	530	38622
271	532	38614
272	533	38569
273	538	38783
274	541	38830
275	543	38849
276	545	38843
277	549	39004
278	553	39093
279	556	39214
280	561	39416
281	562	39363
282	564	39357
283	566	39335
284	568	39306
285	569	39288
286	571	39288
287	573	39231
288	574	39164
289	576	39173
290	579	39227
291	580	39212
292	582	39185
293	584	39199
294	588	39282
295	592	39437
296	596	39578
297	600	39711
298	604	39810
299	605	39778
300	609	39874
301	612	39933
302	616	40081
303	623	40418
304	626	40469
305	632	40708
306	634	40679
307	637	40755
308	641	40864
309	642	40835
310	648	41025
311	649	41010
312	652	41046
313	655	41079
314	659	41208
315	663	41305
316	668	41513
317	671	41579
318	674	41618
319	675	41573
320	679	41653
321	682	41702
322	683	41657
323	686	41667
324	688	41665
325	689	41594
326	691	41602
327	693	41565
328	695	41600
329	698	41662
330	701	41675
331	702	41629
332	706	41727
333	708	41743
334	712	41833
335	714	41811
336	718	41941
337	722	42032
